,name,salary,position,birthday,shoot
817,Damian Jones,,Center,1995-06-30,Right
818,Deyonta Davis,,Center,1996-12-02,Right
819,Cheick Diallo,,Power Forward,1996-09-13,Right
820,Tyler Ulis,,Point Guard,1996-01-05,Right
821,Malcolm Brogdon,,Shooting Guard,1992-12-11,Right
822,Chinanu Onuaku,,Center,1996-11-01,Right
823,Patrick McCaw,,Shooting Guard,1995-10-25,Right
824,Diamond Stone,,Center,1997-02-10,Right
825,Stephen Zimmerman,,Center,1996-09-09,Left
826,Isaiah Whitehead,,Point Guard,1995-03-08,Right
827,Demetrius Jackson,,Point Guard,1994-09-07,Right
828,A.J. Hammons,,Center,1992-08-27,Right
829,Jake Layman,,Small Forward,1994-03-07,Right
830,Michael Gbinije,,Shooting Guard,1992-06-05,Right
831,Georges Niang,,Power Forward,1993-06-17,Right
832,Ben Bentil,,Forward,1995-03-29,Right
833,Joel Bolomboy,,Power Forward,1994-01-28,Right
834,Kay Felder,,Point Guard,1995-03-29,Left
835,Marcus Paige,,Guard,1993-09-11,Left
836,Daniel Hamilton,,Guard/Forward,1995-08-08,Right
837,Abdel Nader,,Forward,1993-09-25,Right
838,Isaiah Cousins,,Guard,1994-03-13,Right
839,Tyrone Wallace,,Guard,1994-06-10,Left
840,Joe Barry Carroll,800000.0,Center,1958-07-24,Right
841,Darrell Griffith,363000.0,Shooting Guard,1958-06-16,Right
842,Kevin McHale,1000000.0,Power Forward,1957-12-19,Right
843,Kelvin Ransey,317500.0,Point Guard,1958-05-03,Right
844,James Ray,,Power Forward,1957-07-27,Right
845,Mike O'Koren,244000.0,Small Forward,1958-02-07,Right
846,Mike Gminski,350000.0,Center,1959-08-03,Right
847,Andrew Toney,310000.0,Shooting Guard,1957-11-23,Right
848,Michael Brooks,75000.0,Small Forward,1958-08-17,Right
849,Ronnie Lester,244000.0,Point Guard,1959-01-01,Right
850,Kiki Vandeweghe,755000.0,Small Forward and Power Forward,1958-08-01,Right
851,Mike Woodson,375000.0,Shooting Guard,1958-03-24,Right
852,Rickey Brown,160000.0,Center,1958-08-20,Right
853,Wes Matthews,85000.0,Point Guard,1959-08-24,Right
854,Reggie Johnson,,Power Forward and Small Forward,1957-06-25,Right
855,Hawkeye Whitney,,Shooting Guard,1957-06-22,Right
856,Larry Drew,700000.0,Point Guard,1958-04-02,Right
857,Don Collins,,Small Forward and Shooting Guard,1958-11-28,Right
858,John Duren,,Point Guard,1958-10-30,Right
859,Bill Hanzlik,175000.0,Small Forward and Power Forward,1957-12-06,Right
860,Monti Davis,,Power Forward,1958-07-26,Right
861,Chad Kinch,,Shooting Guard,1958-05-22,Right
862,Carl Nicks,,Shooting Guard and Point Guard,1958-10-06,Left
863,Larry Smith,300000.0,Power Forward,1958-01-18,Right
864,Jeff Ruland,326000.0,Center and Power Forward,1958-12-16,Right
865,Sam Worthen,,Point Guard,1958-01-17,Right
866,John Stroud,,Small Forward,1957-10-29,Right
867,Craig Shelton,,Small Forward,1957-05-01,Right
868,Louis Orr,325000.0,Small Forward and Power Forward,1958-05-07,Right
869,Kenny Natt,,Shooting Guard,1958-10-05,Right
870,Wayne Robinson,,Power Forward,1958-04-19,Right
871,Rick Mahorn,361000.0,Power Forward and Center,1958-09-21,Right
872,DeWayne Scales,,Power Forward,1958-12-28,Right
873,Butch Carter,160000.0,Shooting Guard and Small Forward,1958-06-11,Right
874,Michael Wiley,,Power Forward,1957-10-16,Right
875,Dick Miller,,Small Forward,1958-04-26,Right
876,Jawann Oldham,175000.0,Center,1957-07-04,Right
877,Brad Branson,,Power Forward,1958-09-24,Right
878,Kurt Nimphius,250000.0,Center and Power Forward,1958-03-13,Right
879,James Wilkes,,Small Forward,1958-04-01,Right
880,Ronnie Valentine,,Small Forward,1957-11-27,Right
881,Lowes Moore,,Point Guard,1957-05-05,Right
882,Mike Harper,,Power Forward,1957-12-09,Right
883,Dave Britton,,Point Guard,1958-08-29,Right
884,Kurt Rambis,200000.0,Power Forward,1958-02-25,Right
885,Rich Yonakor,,Power Forward,1958-10-03,Left
886,Carl Bailey,,Center,1958-04-23,Right
887,Darwin Cook,255000.0,Point Guard and Shooting Guard,1958-08-06,Right
888,Rory Sparrow,500000.0,Point Guard,1958-06-12,Right
889,Tony Jackson,,Point Guard,1958-01-17,Right
890,Tony Fuller,,Shooting Guard,1958-09-04,Right
891,Wally Rank,,Small Forward,1958-03-01,Right
892,Darrell Allums,,Power Forward,1958-09-12,Right
893,Lorenzo Romar,,Point Guard,1958-11-13,Right
894,John Stroeder,75000.0,Power Forward,1958-07-24,Right
895,Clarence Kea,,Power Forward,1959-02-02,Right
896,Billy Reid,,Shooting Guard,1957-09-10,Right
897,Mark Aguirre,800000.0,Small Forward,1959-12-10,Right
898,Isiah Thomas,750000.0,Point Guard,1961-04-30,Right
899,Buck Williams,513000.0,Power Forward,1960-03-08,Right
900,Al Wood,450000.0,Shooting Guard and Small Forward,1958-06-02,Right
901,Danny Vranes,392000.0,Small Forward,1958-10-29,Right
902,Orlando Woolridge,300000.0,Small Forward,1959-12-16,Right
903,Steve Johnson,369000.0,Center,1957-11-03,Right
904,Tom Chambers,374000.0,Power Forward,1959-06-21,Right
905,Rolando Blackman,215000.0,Shooting Guard,1959-02-26,Right
906,Albert King,275000.0,Small Forward,1959-12-17,Right
907,Frank Johnson,232000.0,Point Guard,1958-11-23,Right
908,Kelly Tripucka,700000.0,Small Forward,1959-02-16,Right
909,Danny Schayes,225000.0,Center and Power Forward,1959-05-10,Right
910,Herb Williams,200000.0,Center and Power Forward,1958-02-16,Right
911,Jeff Lamp,75000.0,Small Forward,1959-03-09,Right
912,Darnell Valentine,210000.0,Point Guard and Shooting Guard,1959-02-03,Right
913,Kevin Loder,,Small Forward,1959-03-15,Right
914,Ray Tolbert,100000.0,Power Forward,1958-09-10,Right
915,Mike McGee,200000.0,Small Forward and Shooting Guard,1959-07-29,Right
916,Larry Nance,400000.0,Power Forward,1959-02-12,Right
917,Alton Lister,150000.0,Center and Power Forward,1958-10-01,Right
918,Franklin Edwards,100000.0,Point Guard,1959-02-02,Right
919,Charles Bradley,,Shooting Guard,1959-05-16,Right
920,Jay Vincent,250000.0,Small Forward and Power Forward,1959-06-10,Right
921,Tracy Jackson,,Shooting Guard,1959-04-21,Right
922,Howard Wood,,Small Forward,1959-05-20,Right
923,Gene Banks,265000.0,Small Forward and Power Forward,1959-05-15,Right
924,Eddie Johnson,225000.0,Small Forward and Shooting Guard,1959-05-01,Right
925,Ed Rains,,Small Forward,1956-12-24,Right
926,Danny Ainge,400000.0,Shooting Guard and Point Guard,1959-03-17,Right
927,Sam Williams,,Power Forward,1959-03-07,Right
928,Ken Green,,Power Forward,1959-09-19,Right
929,Charles Davis,90000.0,Small Forward,1958-10-05,Right
930,Ray Blume,,Shooting Guard,1958-09-23,Right
931,Claude Gregory,75000.0,Power Forward,1958-12-26,Right
932,Elston Turner,125000.0,Small Forward and Shooting Guard,1959-06-10,Right
933,Steve Lingenfelter,,Power Forward,1958-06-10,Right
934,David Burns,,Point Guard,1958-07-03,Right
935,Rudy Macklin,,Small Forward,1958-02-19,Right
936,Mark Radford,,Shooting Guard,1959-07-05,Right
937,Jim Smith,,Power Forward,1958-04-12,Right
938,Mickey Dillard,,Point Guard,1958-10-15,Right
939,Frank Brickowski,240000.0,Center and Power Forward and Small Forward,1959-08-14,Right
940,Petur Gudmundsson,175000.0,Center,1958-10-30,Right
941,Craig Dykema,,Small Forward,1959-06-11,Right
942,Lewis Lloyd,150000.0,Shooting Guard,1959-02-22,Right
943,Kenny Dennard,,Power Forward,1958-10-18,Right
944,Larry Spriggs,90000.0,Small Forward and Power Forward,1959-09-08,Right
945,Pete Verhoeven,100000.0,Power Forward,1959-02-15,Right
946,Alex Bradley,,Small Forward,1959-10-30,Right
947,Kevin McKenna,85000.0,Shooting Guard,1959-01-08,Right
948,Joe Cooper,,Center,1957-09-01,Right
949,Hank McDowell,,Power Forward,1959-11-13,Right
950,Garry Witts,,Small Forward,1959-07-03,Right
951,Roger Burkman,,Shooting Guard,1958-05-22,Right
952,Clinton Wheeler,100000.0,Point Guard,1959-10-27,Right
953,Bobby Cattage,70000.0,Power Forward,1958-08-17,Right
954,Derrick Rowland,,Shooting Guard,1959-06-21,Right
955,James Worthy,400000.0,Small Forward and Power Forward,1961-02-27,Right
956,Terry Cummings,410000.0,Power Forward and Small Forward,1961-03-15,Right
957,Dominique Wilkins,460000.0,Small Forward,1960-01-12,Right
958,Bill Garnett,269000.0,Power Forward and Center,1960-04-22,Right
959,LaSalle Thompson,277000.0,Center,1961-06-23,Right
960,Trent Tucker,273000.0,Shooting Guard,1959-12-20,Right
961,Quintin Dailey,410000.0,Shooting Guard,1961-01-22,Right
962,Clark Kellogg,406000.0,Power Forward,1961-07-02,Right
963,Cliff Levingston,200000.0,Power Forward,1961-01-04,Right
964,Keith Edmonson,,Shooting Guard,1960-09-28,Right
965,Fat Lever,185000.0,Point Guard and Shooting Guard,1960-08-18,Right
966,John Bagley,209000.0,Point Guard,1960-04-23,Right
967,Sleepy Floyd,200000.0,Point Guard and Shooting Guard,1960-03-06,Right
968,Lester Conner,160000.0,Point Guard and Shooting Guard,1959-09-17,Right
969,David Thirdkill,,Small Forward and Power Forward,1960-04-12,Right
970,Terry Teagle,150000.0,Shooting Guard and Small Forward,1960-04-10,Right
971,Brook Steppe,100000.0,Shooting Guard and Point Guard,1959-11-07,Right
972,Ricky Pierce,140000.0,Shooting Guard and Point Guard,1959-08-19,Right
973,Rob Williams,120000.0,Point Guard,1961-05-05,Right
974,Paul Pressey,152000.0,Shooting Guard and Small Forward,1958-12-24,Right
975,Eddie Phillips,,Small Forward,1961-09-29,Right
976,Mark McNamara,165000.0,Center,1959-06-08,Left
977,Darren Tillis,,Center,1960-02-23,Right
978,Oliver Robinson,,Shooting Guard,1960-03-13,Right
979,Bryan Warrick,110000.0,Point Guard,1959-07-22,Right
980,Fred Roberts,86000.0,Power Forward and Center and Small Forward,1960-08-14,Right
981,Dave Magley,,Small Forward,1959-11-24,Right
982,Scott Hastings,160000.0,Power Forward and Center,1960-06-03,Right
983,Wallace Bryant,130000.0,Center,1959-07-14,Right
984,Rod Higgins,160000.0,Small Forward and Power Forward,1960-01-31,Right
985,Richard Anderson,150000.0,Power Forward and Center,1960-11-19,Right
986,Linton Townes,,Small Forward,1959-11-30,Right
987,Vince Taylor,,Shooting Guard,1960-09-11,Right
988,Derek Smith,400000.0,Shooting Guard and Small Forward,1961-11-01,Right
989,J.J. Anderson,,Small Forward,1960-09-23,Right
990,Audie Norris,110000.0,Center,1960-12-18,Right
991,Wayne Sappleton,,Power Forward,1960-11-17,Right
992,Guy Morgan,,Shooting Guard,1960-08-23,Right
993,Dwight Anderson,,Point Guard,1960-12-28,Right
994,Jeff Taylor,,Shooting Guard,1960-01-01,Right
995,Jose Slaughter,,Shooting Guard,1960-09-09,Right
996,Mike Gibson,80000.0,Power Forward,1960-10-27,Right
997,Russ Schoene,250000.0,Power Forward,1960-04-16,Right
998,Michael Wilson,,Shooting Guard and Point Guard,1959-09-15,Right
999,Craig Hodges,100000.0,Shooting Guard and Point Guard,1960-06-27,Right
1000,Corny Thompson,,Power Forward,1960-02-05,Right
1001,Jim Johnstone,,Power Forward and Center,1960-09-20,Right
1002,Jerry Eaves,,Point Guard,1959-02-08,Right
1003,Joe Kopicki,80000.0,Power Forward,1960-06-12,Right
1004,Chris Engler,125000.0,Center,1959-03-01,Right
1005,Charles Pittman,80000.0,Power Forward and Small Forward,1958-03-23,Right
1006,Chuck Nevitt,70000.0,Center,1959-06-13,Right
1007,John Greig,,Small Forward,1961-04-28,Right
1008,Perry Moss,,Point Guard,1958-11-11,Right
1009,Mark Eaton,133000.0,Center,1957-01-24,Left
1010,Mike Sanders,70000.0,Small Forward,1960-05-07,Right
1011,Chuck Aleksinas,,Center,1959-02-26,Right
1012,Walker Russell,,Point Guard,1960-10-26,Right
1013,Tony Brown,135000.0,Small Forward and Shooting Guard,1960-07-29,Right
1014,Rory White,70000.0,Small Forward and Power Forward,1959-08-16,Right
1015,John Schweitz,,Shooting Guard,1960-04-19,Right
1016,Eddie Hughes,100000.0,Point Guard,1960-05-26,Right
1017,Ed Nealy,100000.0,Power Forward,1960-02-19,Right
1018,Dale Wilkinson,70000.0,Power Forward and Small Forward,1960-03-18,Right
1019,Ralph Sampson,1300000.0,Center and Power Forward,1960-07-07,Right
1020,Steve Stipanovich,420000.0,Center,1960-11-17,Right
1021,Rodney McCray,360000.0,Small Forward and Power Forward,1961-08-29,Right
1022,Byron Scott,350000.0,Shooting Guard and Point Guard,1961-03-28,Right
1023,Sidney Green,275000.0,Power Forward and Center,1961-01-04,Right
1024,Russell Cross,,Center,1961-09-05,Right
1025,Thurl Bailey,225000.0,Power Forward and Small Forward,1961-04-07,Right
1026,Antoine Carr,335000.0,Power Forward and Small Forward and Center,1961-07-23,Right
1027,Dale Ellis,200000.0,Small Forward and Shooting Guard,1960-08-06,Right
1028,Jeff Malone,211000.0,Shooting Guard,1961-06-28,Right
1029,Derek Harper,200000.0,Point Guard and Shooting Guard,1961-10-13,Right
1030,Darrell Walker,230000.0,Point Guard and Shooting Guard,1961-03-09,Right
1031,Ennis Whatley,200000.0,Point Guard,1962-08-11,Right
1032,Clyde Drexler,175000.0,Shooting Guard,1962-06-22,Right
1033,Howard Carter,,Shooting Guard,1961-10-26,Right
1034,Jon Sundvold,158000.0,Point Guard and Shooting Guard,1961-07-02,Right
1035,Leo Rautins,,Small Forward,1960-03-20,Left
1036,Randy Breuer,167000.0,Center,1960-10-11,Right
1037,John Paxson,102000.0,Point Guard,1960-09-29,Right
1038,Roy Hinson,150000.0,Small Forward and Power Forward,1961-05-02,Right
1039,Greg Kite,120000.0,Center,1961-08-05,Right
1040,Randy Wittman,170000.0,Shooting Guard and Small Forward,1959-10-28,Right
1041,Mitchell Wiggins,130000.0,Shooting Guard,1959-09-28,Right
1042,Stewart Granger,,Point Guard,1961-10-27,Right
1043,Sidney Lowe,,Point Guard and Shooting Guard,1960-01-21,Right
1044,Leroy Combs,,Small Forward,1961-01-01,Right
1045,John Garris,,Power Forward,1959-06-06,Right
1046,Rod Foster,125000.0,Point Guard,1960-10-10,Right
1047,Larry Micheaux,,Power Forward,1960-03-24,Right
1048,Mark West,120000.0,Center,1960-11-05,Right
1049,Doc Rivers,105000.0,Point Guard,1961-10-13,Right
1050,Dirk Minniefield,75000.0,Point Guard,1961-01-17,Right
1051,Guy Williams,,Power Forward and Small Forward,1960-07-01,Right
1052,Darrell Lockhart,,Center,1960-09-14,Right
1053,Scooter McCray,,Power Forward,1960-02-08,Right
1054,Chris McNealy,,Power Forward,1961-07-15,Right
1055,Granville Waiters,100000.0,Center,1961-01-08,Right
1056,Jim Thomas,80000.0,Shooting Guard,1960-10-19,Right
1057,Pace Mannion,70000.0,Small Forward,1960-09-22,Right
1058,Kevin Williams,125000.0,Shooting Guard,1961-09-11,Right
1059,Craig Ehlo,80000.0,Shooting Guard,1961-08-11,Right
1060,Paul Thompson,90000.0,Small Forward,1961-05-25,Right
1061,Mike Holton,120000.0,Point Guard and Shooting Guard,1961-08-04,Left
1062,Bob Hansen,65000.0,Shooting Guard,1961-01-18,Right
1063,Darren Daye,95000.0,Small Forward,1960-11-30,Right
1064,John Pinone,,Small Forward,1961-02-19,Right
1065,Bruce Kuczenski,,Power Forward,1961-02-03,Right
1066,Tom Piotrowski,,Center,1960-10-17,Right
1067,Ron Crevier,,Center,1958-04-14,Right
1068,Peter Thibeaux,85000.0,Small Forward,1961-10-03,Right
1069,Mark Jones,,Point Guard,1961-04-10,Right
1070,Brant Weidner,,Power Forward,1960-10-28,Right
1071,Carlos Clark,65000.0,Shooting Guard,1960-08-10,Right
1072,Ken Austin,,Small Forward,1961-07-15,Right
1073,Jim Lampley,,Center,1960-07-02,Right
1074,Sedale Threatt,78000.0,Point Guard and Shooting Guard,1961-09-10,Right
1075,Dane Suttle,,Shooting Guard,1961-08-09,Right
1076,Hakeem Olajuwon,780000.0,Center,1963-01-21,Right
1077,Sam Bowie,400000.0,Center,1961-03-17,Right
1078,Michael Jordan,550000.0,Shooting Guard and Small Forward,1963-02-17,Right
1079,Sam Perkins,500000.0,Power Forward and Center and Small Forward,1961-06-14,Left
1080,Charles Barkley,307000.0,Power Forward and Small Forward,1963-02-20,Right
1081,Melvin Turpin,260000.0,Center,1960-12-28,Right
1082,Alvin Robertson,233750.0,Shooting Guard,1962-07-22,Right
1083,Lancaster Gordon,200000.0,Shooting Guard,1962-06-24,Right
1084,Otis Thorpe,225000.0,Power Forward and Center,1962-08-05,Right
1085,Leon Wood,215000.0,Point Guard and Shooting Guard,1962-03-25,Right
1086,Kevin Willis,298000.0,Power Forward and Center,1962-09-06,Right
1087,Tim McCormick,228333.0,Center,1962-03-10,Right
1088,Jay Humphries,222500.0,Point Guard and Shooting Guard,1962-10-17,Right
1089,Michael Cage,250000.0,Center and Power Forward,1962-01-28,Left
1090,Terence Stansbury,160000.0,Shooting Guard,1961-02-27,Right
1091,John Stockton,150000.0,Point Guard,1962-03-26,Right
1092,Jeff Turner,200000.0,Power Forward and Small Forward,1962-04-09,Left
1093,Vern Fleming,200000.0,Point Guard,1962-02-04,Right
1094,Bernard Thompson,120000.0,Small Forward and Shooting Guard and Power Forward,1962-08-30,Right
1095,Tony Campbell,110000.0,Small Forward and Shooting Guard,1962-05-07,Right
1096,Kenny Fields,145000.0,Small Forward,1962-02-09,Right
1097,Tom Sewell,150000.0,Shooting Guard,1962-03-11,Right
1098,Earl Jones,,Center,1961-01-13,Right
1099,Michael Young,,Small Forward,1961-01-02,Right
1100,Devin Durrant,,Small Forward,1960-10-20,Right
1101,Ron Anderson,115000.0,Small Forward,1958-10-15,Right
1102,Cory Blackwell,,Small Forward,1963-03-27,Right
1103,Stuart Gray,143200.0,Center,1963-05-27,Right
1104,Steve Burtt,75000.0,Shooting Guard,1962-11-05,Right
1105,Jay Murphy,130000.0,Power Forward and Small Forward,1962-06-26,Right
1106,Steve Colter,112500.0,Point Guard,1962-07-24,Right
1107,Othell Wilson,,Point Guard,1961-10-26,Right
1108,Charles Jones,150000.0,Power Forward and Center,1962-01-12,Right
1109,Ben Coleman,275000.0,Power Forward and Center,1961-11-14,Right
1110,Charlie Sitton,,Small Forward,1962-07-03,Right
1111,Danny Young,75000.0,Point Guard,1962-07-26,Right
1112,Tom Sluby,,Shooting Guard,1962-02-18,Right
1113,Willie White,85000.0,Shooting Guard,1962-08-20,Right
1114,Gary Plummer,110000.0,Power Forward,1962-02-21,Right
1115,Jerome Kersey,100000.0,Small Forward,1962-06-26,Right
1116,Ben McDonald,135000.0,Power Forward and Small Forward,1962-07-20,Right
1117,Jim Petersen,125000.0,Power Forward and Center,1962-02-22,Right
1118,Joe Binion,,Power Forward,1961-03-26,Right
1119,Jeff Cross,,Power Forward,1961-09-01,Right
1120,David Pope,,Small Forward,1962-04-15,Right
1121,Butch Graves,,Shooting Guard,1962-01-05,Right
1122,Rick Carlisle,90000.0,Shooting Guard,1959-10-27,Right
1123,Ralph Jackson,,Point Guard,1962-10-26,Right
1124,Jim Grandholm,115000.0,Power Forward,1960-10-04,Right
1125,Carl Henry,85000.0,Shooting Guard,1960-08-16,Right
1126,Jim Rowinski,,Power Forward and Center,1961-01-04,Right
1127,Bob Thornton,70000.0,Power Forward,1962-07-10,Right
1128,Ozell Jones,,Center,1960-11-20,Right
1129,McKinley Singleton,,Point Guard,1961-10-29,Right
1130,Eddie Lee Wilkins,330000.0,Center and Power Forward,1962-05-07,Right
1131,Kenton Edelin,,Small Forward,1962-05-24,Right
1132,Ken Bannister,105000.0,Power Forward,1960-04-01,Right
1133,Brian Martin,,Small Forward and Power Forward,1962-08-18,Right
1134,Patrick Ewing,1250000.0,Center and Power Forward,1962-08-05,Right
1135,Wayman Tisdale,987000.0,Power Forward,1964-06-09,Left
1136,Benoit Benjamin,575000.0,Center,1964-11-22,Right
1137,Xavier McDaniel,525000.0,Small Forward and Power Forward,1963-06-04,Right
1138,Jon Koncak,475250.0,Center,1963-05-17,Right
1139,Joe Kleine,450000.0,Center,1962-01-04,Right
1140,Chris Mullin,500000.0,Small Forward and Shooting Guard,1963-07-30,Left
1141,Detlef Schrempf,290000.0,Small Forward and Power Forward,1963-01-21,Right
1142,Charles Oakley,225000.0,Power Forward and Center,1963-12-18,Right
1143,Ed Pinckney,300000.0,Power Forward and Small Forward,1963-03-27,Right
1144,Keith Lee,271666.0,Power Forward,1962-12-28,Right
1145,Kenny Green,245633.0,Small Forward,1964-10-11,Right
1146,Karl Malone,225000.0,Power Forward,1963-07-24,Right
1147,Alfredrick Hughes,177830.0,Shooting Guard,1962-07-19,Right
1148,Blair Rasmussen,202500.0,Center,1962-11-13,Right
1149,Bill Wennington,220000.0,Center,1963-04-26,Right
1150,Uwe Blab,200000.0,Center,1962-03-26,Right
1151,Joe Dumars,170000.0,Shooting Guard and Point Guard,1963-05-24,Right
1152,Steve Harris,160000.0,Shooting Guard,1963-10-15,Right
1153,Sam Vincent,87500.0,Point Guard and Shooting Guard,1963-05-18,Right
1154,Terry Catledge,150000.0,Power Forward,1963-08-22,Right
1155,Jerry Reynolds,175332.0,Small Forward and Shooting Guard,1962-12-23,Right
1156,A.C. Green,128750.0,Power Forward and Small Forward,1963-10-04,Right
1157,Terry Porter,151000.0,Point Guard,1963-04-08,Right
1158,Mike Smrek,135000.0,Center and Power Forward,1962-08-31,Right
1159,Bill Martin,150000.0,Small Forward,1962-08-16,Right
1160,Dwayne McClain,115000.0,Small Forward,1963-02-07,Right
1161,Ken Johnson,106000.0,Power Forward,1962-11-07,Right
1162,Mike Brittain,105000.0,Center,1963-06-21,Right
1163,Manute Bol,137500.0,Center,1962-10-16,Right
1164,Nick Vanos,125000.0,Center,1963-04-13,Right
1165,Greg Stokes,70000.0,Power Forward,1963-08-05,Right
1166,Tyrone Corbin,85700.0,Small Forward,1962-12-31,Right
1167,Yvon Joseph,,Center,1957-10-31,Right
1168,Carey Scurry,70000.0,Small Forward,1962-12-04,Right
1169,Mark Acres,75000.0,Center,1962-11-15,Right
1170,Lorenzo Charles,70000.0,Small Forward,1963-11-25,Right
1171,Barry Stevens,,Small Forward,1963-01-17,Right
1172,Voise Winters,70000.0,Small Forward,1962-10-12,Right
1173,Hot Rod Williams,349055.0,Center and Power Forward,1962-08-09,Right
1174,Adrian Branch,150000.0,Small Forward,1963-11-17,Right
1175,Gerald Wilkins,70000.0,Shooting Guard and Small Forward,1963-09-11,Right
1176,Brad Wright,,Power Forward,1962-03-26,Right
1177,Sam Mitchell,500000.0,Small Forward and Power Forward,1963-09-02,Right
1178,Sedric Toney,75000.0,Point Guard,1962-04-13,Right
1179,Perry Young,,Shooting Guard,1963-08-04,Right
1180,Harold Keeling,,Shooting Guard,1963-09-18,Right
1181,Michael Adams,85000.0,Point Guard,1963-01-19,Right
1182,Mike Brown,220000.0,Center,1963-07-19,Right
1183,Fred Cofield,70000.0,Point Guard,1962-01-04,Right
1184,Alex Stivrins,140000.0,Small Forward and Power Forward,1962-11-29,Right
1185,Mark Davis,,Small Forward,1963-06-08,Right
1186,Scott Roth,75000.0,Small Forward,1963-06-03,Right
1187,Delaney Rudd,215000.0,Point Guard and Shooting Guard,1962-11-08,Right
1188,John Battle,70000.0,Shooting Guard,1962-11-09,Right
1189,Spud Webb,70000.0,Point Guard,1963-07-13,Right
1190,Pete Williams,70000.0,Power Forward,1965-03-10,Right
1191,Derrick Gervin,155000.0,Power Forward,1963-03-28,Right
1192,Cozell McQueen,,Power Forward,1962-01-18,Right
1193,Dexter Shouse,,Point Guard,1963-03-24,Right
1194,Ralph Lewis,75000.0,Shooting Guard,1963-03-28,Right
1195,Michael Phelps,70000.0,Shooting Guard,1961-10-03,Right
1196,Mario Elie,50000.0,Small Forward and Shooting Guard,1963-11-26,Right
1197,Brad Daugherty,887500.0,Center,1965-10-19,Right
1198,Chris Washburn,777200.0,Center,1965-05-13,Right
1199,Chuck Person,565660.0,Small Forward and Power Forward,1964-06-27,Right
1200,Kenny Walker,575000.0,Small Forward and Power Forward,1964-08-18,Right
1201,William Bedford,637500.0,Center,1963-12-14,Right
1202,Roy Tarpley,460000.0,Power Forward and Center,1964-11-28,Right
1203,Ron Harper,555500.0,Shooting Guard and Point Guard,1964-01-20,Right
1204,Brad Sellers,381830.0,Power Forward and Small Forward,1962-12-17,Right
1205,Johnny Dawkins,330000.0,Point Guard,1963-09-28,Left
1206,John Salley,335000.0,Power Forward and Center,1964-05-16,Right
1207,John Williams,308000.0,Small Forward,1966-10-26,Right
1208,Pearl Washington,310000.0,Point Guard,1964-01-06,Right
1209,Walter Berry,287500.0,Power Forward and Small Forward,1964-05-14,Left
1210,Dell Curry,250000.0,Shooting Guard,1964-06-25,Right
1211,Maurice Martin,225000.0,Small Forward,1964-07-02,Right
1212,Harold Pressley,240000.0,Small Forward and Power Forward,1963-07-14,Right
1213,Mark Alarie,232500.0,Power Forward,1963-12-11,Right
1214,Billy Thompson,230000.0,Small Forward,1963-12-01,Right
1215,Buck Johnson,195000.0,Small Forward,1964-01-03,Right
1216,Anthony Jones,,Shooting Guard and Small Forward,1962-09-13,Right
1217,Scott Skiles,172000.0,Point Guard,1964-03-05,Right
1218,Mark Price,175000.0,Point Guard,1964-02-15,Right
1219,Greg Dreiling,180000.0,Center,1962-11-07,Right
1220,Dennis Rodman,160000.0,Power Forward and Small Forward,1961-05-13,Right
1221,Larry Krystkowiak,125000.0,Power Forward,1964-09-23,Right
1222,Johnny Newman,275000.0,Small Forward and Shooting Guard,1963-11-28,Right
1223,Nate McMillan,129000.0,Point Guard and Shooting Guard,1964-08-03,Right
1224,Cedric Henderson,,Power Forward,1965-10-03,Right
1225,Kevin Duckworth,175000.0,Center,1964-04-01,Right
1226,Johnny Rogers,75000.0,Power Forward,1963-12-30,Right
1227,Milt Wagner,75000.0,Shooting Guard,1963-02-20,Right
1228,Rafael Addison,311000.0,Small Forward,1964-07-22,Right
1229,Otis Smith,95000.0,Shooting Guard and Small Forward,1964-01-30,Right
1230,Dave Feitl,124700.0,Center,1962-06-08,Right
1231,David Wingate,258333.0,Shooting Guard and Small Forward,1963-12-15,Right
1232,Keith Smith,,Shooting Guard,1964-03-09,Left
1233,Jeff Hornacek,94000.0,Shooting Guard and Point Guard,1963-05-03,Right
1234,Michael Jackson,115000.0,Point Guard,1964-07-13,Right
1235,Forrest McKenzie,,Small Forward,1963-02-16,Right
1236,Kevin Henderson,75000.0,Shooting Guard and Point Guard,1964-03-22,Right
1237,Mike Williams,,Power Forward and Small Forward,1963-08-14,Left
1238,Ricky Wilson,75000.0,Point Guard,1964-07-16,Right
1239,Tod Murphy,590000.0,Power Forward and Center,1963-12-24,Right
1240,Dwayne Polee,,Shooting Guard,1963-03-02,Right
1241,Kenny Gattison,110000.0,Power Forward,1964-05-23,Right
1242,Bruce Douglas,,Shooting Guard,1964-04-09,Right
1243,Dave Henderson,75000.0,Shooting Guard,1964-07-21,Right
1244,John Shasky,125000.0,Center,1964-07-31,Right
1245,Dave Hoppen,75000.0,Center,1964-03-13,Right
1246,Anthony Bowie,900000.0,Shooting Guard,1963-11-09,Right
1247,Ron Rowan,,Shooting Guard,1962-04-23,Right
1248,Andre Turner,75000.0,Point Guard,1964-12-13,Right
1249,Jim Les,100000.0,Point Guard,1963-08-18,Right
1250,Scott Meents,300000.0,Power Forward,1964-01-04,Right
1251,Grant Gondrezick,125000.0,Shooting Guard,1963-01-19,Right
1252,Myron Jackson,,Point Guard,1964-05-06,Right
1253,Conner Henry,120000.0,Shooting Guard,1963-07-21,Right
1254,Richard Rellford,,Small Forward,1964-02-16,Right
